Year,SUMLEV,REGION,DIVISION,STATE,NAME,SEX,AGE,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV
2010,10,0,0,0,United States,0,0,3951330,,,,
2010,10,0,0,0,United States,0,1,3957888,,,,
2010,10,0,0,0,United States,0,2,4090862,,,,
2010,10,0,0,0,United States,0,3,4111920,,,,
2010,10,0,0,0,United States,0,4,4077552,,,,
2010,10,0,0,0,United States,0,5,4064653,,,,
2010,10,0,0,0,United States,0,6,4073013,,,,
2010,10,0,0,0,United States,0,7,4043047,,,,
2010,10,0,0,0,United States,0,8,4025604,,,,
2010,10,0,0,0,United States,0,9,4125415,,,,
2010,10,0,0,0,United States,0,10,4187063,,,,
2010,10,0,0,0,United States,0,11,4115511,,,,
2010,10,0,0,0,United States,0,12,4113280,,,,
2010,10,0,0,0,United States,0,13,4119666,,,,
2010,10,0,0,0,United States,0,14,4145614,,,,
2010,10,0,0,0,United States,0,15,4231003,,,,
2010,10,0,0,0,United States,0,16,4313252,,,,
2010,10,0,0,0,United States,0,17,4375335,,,,
2010,10,0,0,0,United States,0,18,4475045,,,,
2010,10,0,0,0,United States,0,19,4521326,,,,
2010,10,0,0,0,United States,0,20,4501479,,,,
2010,10,0,0,0,United States,0,21,4312779,,,,
2010,10,0,0,0,United States,0,22,4208342,,,,
2010,10,0,0,0,United States,0,23,4140920,,,,
2010,10,0,0,0,United States,0,24,4170512,,,,
2010,10,0,0,0,United States,0,25,4221032,,,,
2010,10,0,0,0,United States,0,26,4098500,,,,
2010,10,0,0,0,United States,0,27,4179712,,,,
2010,10,0,0,0,United States,0,28,4195455,,,,
2010,10,0,0,0,United States,0,29,4163097,,,,
2010,10,0,0,0,United States,0,30,4260939,,,,
2010,10,0,0,0,United States,0,31,4002904,,,,
2010,10,0,0,0,United States,0,32,3931512,,,,
2010,10,0,0,0,United States,0,33,3899866,,,,
2010,10,0,0,0,United States,0,34,3791117,,,,
2010,10,0,0,0,United States,0,35,3917298,,,,
2010,10,0,0,0,United States,0,36,3800296,,,,
2010,10,0,0,0,United States,0,37,3866024,,,,
2010,10,0,0,0,United States,0,38,4049403,,,,
2010,10,0,0,0,United States,0,39,4294412,,,,
2010,10,0,0,0,United States,0,40,4360851,,,,
2010,10,0,0,0,United States,0,41,4140522,,,,
2010,10,0,0,0,United States,0,42,4062586,,,,
2010,10,0,0,0,United States,0,43,4076095,,,,
2010,10,0,0,0,United States,0,44,4162955,,,,
2010,10,0,0,0,United States,0,45,4424814,,,,
2010,10,0,0,0,United States,0,46,4517840,,,,
2010,10,0,0,0,United States,0,47,4525376,,,,
2010,10,0,0,0,United States,0,48,4526649,,,,
2010,10,0,0,0,United States,0,49,4592743,,,,
2010,10,0,0,0,United States,0,50,4641293,,,,
2010,10,0,0,0,United States,0,51,4495230,,,,
2010,10,0,0,0,United States,0,52,4477709,,,,
2010,10,0,0,0,United States,0,53,4437063,,,,
2010,10,0,0,0,United States,0,54,4286660,,,,
2010,10,0,0,0,United States,0,55,4257583,,,,
2010,10,0,0,0,United States,0,56,4092038,,,,
2010,10,0,0,0,United States,0,57,3945598,,,,
2010,10,0,0,0,United States,0,58,3801712,,,,
2010,10,0,0,0,United States,0,59,3693686,,,,
2010,10,0,0,0,United States,0,60,3616456,,,,
2010,10,0,0,0,United States,0,61,3519931,,,,
2010,10,0,0,0,United States,0,62,3495002,,,,
2010,10,0,0,0,United States,0,63,3652119,,,,
2010,10,0,0,0,United States,0,64,2705976,,,,
2010,10,0,0,0,United States,0,65,2678532,,,,
2010,10,0,0,0,United States,0,66,2621346,,,,
2010,10,0,0,0,United States,0,67,2693709,,,,
2010,10,0,0,0,United States,0,68,2359819,,,,
2010,10,0,0,0,United States,0,69,2167833,,,,
2010,10,0,0,0,United States,0,70,2062581,,,,
2010,10,0,0,0,United States,0,71,1953614,,,,
2010,10,0,0,0,United States,0,72,1883821,,,,
2010,10,0,0,0,United States,0,73,1750309,,,,
2010,10,0,0,0,United States,0,74,1685999,,,,
2010,10,0,0,0,United States,0,75,1631879,,,,
2010,10,0,0,0,United States,0,76,1481683,,,,
2010,10,0,0,0,United States,0,77,1449173,,,,
2010,10,0,0,0,United States,0,78,1402184,,,,
2010,10,0,0,0,United States,0,79,1354913,,,,
2010,10,0,0,0,United States,0,80,1319725,,,,
2010,10,0,0,0,United States,0,81,1212603,,,,
2010,10,0,0,0,United States,0,82,1158352,,,,
2010,10,0,0,0,United States,0,83,1081442,,,,
2010,10,0,0,0,United States,0,84,987026,,,,
2010,10,0,0,0,United States,0,85,5542810,,,,
2010,10,0,0,0,United States,0,999,308111818,,,,
2010,10,0,0,0,United States,1,0,2018420,,,,
2010,10,0,0,0,United States,1,1,2020332,,,,
2010,10,0,0,0,United States,1,2,2088685,,,,
2010,10,0,0,0,United States,1,3,2101272,,,,
2010,10,0,0,0,United States,1,4,2084312,,,,
2010,10,0,0,0,United States,1,5,2076573,,,,
2010,10,0,0,0,United States,1,6,2079410,,,,
2010,10,0,0,0,United States,1,7,2063139,,,,
2010,10,0,0,0,United States,1,8,2054462,,,,
2010,10,0,0,0,United States,1,9,2107037,,,,
2010,10,0,0,0,United States,1,10,2142168,,,,
2010,10,0,0,0,United States,1,11,2104797,,,,
2010,10,0,0,0,United States,1,12,2103650,,,,
2010,10,0,0,0,United States,1,13,2104949,,,,
