STATE,Year,Population ,NAME,AGE,,,set_id,year,pieces,t1,descr
1,2010,60026,Alabama,0,,,00-1,1970,471,Legoland,Weetabix Castle
1,2010,59774,Alabama,1,,,0011-2,1978,12,Town,Town Mini-Figures
1,2010,62057,Alabama,2,,,0011-3,1987,2,Castle,Castle 2 for 1 Bonus Offer
1,2010,62088,Alabama,3,,,0012-1,1979,12,Space,Space Mini-Figures
1,2010,61091,Alabama,4,,,0013-1,1979,12,Space,Space Mini-Figures
1,2010,60656,Alabama,5,,,0014-1,1979,12,Space,Space Mini-Figures
1,2010,60740,Alabama,6,,,0015-1,1979,18,Space,Space Mini-Figures
1,2010,60613,Alabama,7,,,0016-1,1978,15,Castle,Castle Mini Figures
1,2010,61070,Alabama,8,,,00-2,1976,147,Legoland,Weetabix Promotional House 1
1,2010,64204,Alabama,9,,,,,,,
1,2010,65318,Alabama,10,,,,,,,
1,2010,63837,Alabama,11,,,,,,,
1,2010,64159,Alabama,12,,,,,,,
1,2010,63469,Alabama,13,,,,,,,
1,2010,63334,Alabama,14,,,,,,,
1,2010,64677,Alabama,15,,,,,,,
1,2010,66413,Alabama,16,,,,,,,
1,2010,67404,Alabama,17,,,,,,,
1,2010,69329,Alabama,18,,,,,,,
1,2010,72220,Alabama,19,,,,,,,
1,2010,72732,Alabama,20,,,,,,,
1,2010,68835,Alabama,21,,,,,,,
1,2010,66065,Alabama,22,,,,,,,
1,2010,64175,Alabama,23,,,,,,,
1,2010,62992,Alabama,24,,,,,,,
1,2010,62794,Alabama,25,,,,,,,
1,2010,60708,Alabama,26,,,,,,,
1,2010,61324,Alabama,27,,,,,,,
1,2010,61348,Alabama,28,,,,,,,
1,2010,61778,Alabama,29,,,,,,,
1,2010,63348,Alabama,30,,,,,,,
1,2010,59619,Alabama,31,,,,,,,
1,2010,58808,Alabama,32,,,,,,,
1,2010,58629,Alabama,33,,,,,,,
1,2010,56557,Alabama,34,,,,,,,
1,2010,58752,Alabama,35,,,,,,,
1,2010,57702,Alabama,36,,,,,,,
1,2010,59155,Alabama,37,,,,,,,
1,2010,62359,Alabama,38,,,,,,,
1,2010,65590,Alabama,39,,,,,,,
1,2010,64791,Alabama,40,,,,,,,
1,2010,61369,Alabama,41,,,,,,,
1,2010,59893,Alabama,42,,,,,,,
1,2010,60359,Alabama,43,,,,,,,
1,2010,62675,Alabama,44,,,,,,,
1,2010,67204,Alabama,45,,,,,,,
1,2010,68526,Alabama,46,,,,,,,
1,2010,68697,Alabama,47,,,,,,,
1,2010,69392,Alabama,48,,,,,,,
1,2010,70405,Alabama,49,,,,,,,
1,2010,71001,Alabama,50,,,,,,,
1,2010,69296,Alabama,51,,,,,,,
1,2010,69560,Alabama,52,,,,,,,
1,2010,70045,Alabama,53,,,,,,,
1,2010,67834,Alabama,54,,,,,,,
1,2010,67090,Alabama,55,,,,,,,
1,2010,65082,Alabama,56,,,,,,,
1,2010,62285,Alabama,57,,,,,,,
1,2010,60691,Alabama,58,,,,,,,
1,2010,58997,Alabama,59,,,,,,,
1,2010,58348,Alabama,60,,,,,,,
1,2010,57750,Alabama,61,,,,,,,
1,2010,57758,Alabama,62,,,,,,,
1,2010,60111,Alabama,63,,,,,,,
1,2010,44595,Alabama,64,,,,,,,
1,2010,44618,Alabama,65,,,,,,,
1,2010,44119,Alabama,66,,,,,,,
1,2010,45537,Alabama,67,,,,,,,
1,2010,39546,Alabama,68,,,,,,,
1,2010,36700,Alabama,69,,,,,,,
1,2010,35638,Alabama,70,,,,,,,
1,2010,33802,Alabama,71,,,,,,,
1,2010,32702,Alabama,72,,,,,,,
1,2010,30123,Alabama,73,,,,,,,
1,2010,29171,Alabama,74,,,,,,,
1,2010,28177,Alabama,75,,,,,,,
1,2010,25364,Alabama,76,,,,,,,
1,2010,24282,Alabama,77,,,,,,,
1,2010,23291,Alabama,78,,,,,,,
1,2010,21936,Alabama,79,,,,,,,
1,2010,21005,Alabama,80,,,,,,,
1,2010,19000,Alabama,81,,,,,,,
1,2010,17965,Alabama,82,,,,,,,
1,2010,16511,Alabama,83,,,,,,,
1,2010,14641,Alabama,84,,,,,,,
1,2010,76150,Alabama,85,,,,,,,
1,2010,4769781,Alabama,999,,,,,,,
1,2010,30565,Alabama,0,,,,,,,
1,2010,30484,Alabama,1,,,,,,,
1,2010,31551,Alabama,2,,,,,,,
1,2010,31737,Alabama,3,,,,,,,
1,2010,31095,Alabama,4,,,,,,,
1,2010,30926,Alabama,5,,,,,,,
1,2010,31073,Alabama,6,,,,,,,
1,2010,30903,Alabama,7,,,,,,,
1,2010,31105,Alabama,8,,,,,,,
1,2010,32785,Alabama,9,,,,,,,
1,2010,33318,Alabama,10,,,,,,,
1,2010,32493,Alabama,11,,,,,,,
1,2010,32829,Alabama,12,,,,,,,
1,2010,32571,Alabama,13,,,,,,,
1,2010,32396,Alabama,14,,,,,,,
1,2010,33173,Alabama,15,,,,,,,
1,2010,34146,Alabama,16,,,,,,,
1,2010,34678,Alabama,17,,,,,,,
1,2010,35326,Alabama,18,,,,,,,
1,2010,36028,Alabama,19,,,,,,,
1,2010,36037,Alabama,20,,,,,,,
1,2010,34142,Alabama,21,,,,,,,
1,2010,32794,Alabama,22,,,,,,,
1,2010,31894,Alabama,23,,,,,,,
1,2010,31145,Alabama,24,,,,,,,
1,2010,30920,Alabama,25,,,,,,,
1,2010,29621,Alabama,26,,,,,,,
1,2010,30082,Alabama,27,,,,,,,
1,2010,30012,Alabama,28,,,,,,,
1,2010,30280,Alabama,29,,,,,,,
1,2010,31148,Alabama,30,,,,,,,
1,2010,29117,Alabama,31,,,,,,,
1,2010,28658,Alabama,32,,,,,,,
1,2010,28583,Alabama,33,,,,,,,
1,2010,27589,Alabama,34,,,,,,,
1,2010,28682,Alabama,35,,,,,,,
1,2010,28056,Alabama,36,,,,,,,
1,2010,28485,Alabama,37,,,,,,,
1,2010,30303,Alabama,38,,,,,,,
1,2010,31936,Alabama,39,,,,,,,
1,2010,31623,Alabama,40,,,,,,,
1,2010,29955,Alabama,41,,,,,,,
1,2010,29134,Alabama,42,,,,,,,
1,2010,29393,Alabama,43,,,,,,,
1,2010,30591,Alabama,44,,,,,,,
1,2010,32818,Alabama,45,,,,,,,
1,2010,33431,Alabama,46,,,,,,,
1,2010,33342,Alabama,47,,,,,,,
1,2010,33734,Alabama,48,,,,,,,
1,2010,34169,Alabama,49,,,,,,,
1,2010,34614,Alabama,50,,,,,,,
1,2010,33534,Alabama,51,,,,,,,
1,2010,33590,Alabama,52,,,,,,,
1,2010,33937,Alabama,53,,,,,,,
1,2010,32932,Alabama,54,,,,,,,
1,2010,32316,Alabama,55,,,,,,,
1,2010,31140,Alabama,56,,,,,,,
1,2010,29839,Alabama,57,,,,,,,
1,2010,29100,Alabama,58,,,,,,,
1,2010,28272,Alabama,59,,,,,,,
1,2010,27921,Alabama,60,,,,,,,
1,2010,27487,Alabama,61,,,,,,,
1,2010,27617,Alabama,62,,,,,,,
1,2010,28732,Alabama,63,,,,,,,
1,2010,21056,Alabama,64,,,,,,,
1,2010,20980,Alabama,65,,,,,,,
1,2010,20750,Alabama,66,,,,,,,
1,2010,21211,Alabama,67,,,,,,,
1,2010,18347,Alabama,68,,,,,,,
1,2010,16966,Alabama,69,,,,,,,
1,2010,16251,Alabama,70,,,,,,,
1,2010,15314,Alabama,71,,,,,,,
1,2010,14603,Alabama,72,,,,,,,
1,2010,13404,Alabama,73,,,,,,,
1,2010,12915,Alabama,74,,,,,,,
