Year,STATE,NAME,SEX,AGE,Population
2010,1,Alabama,1,0,30565
2010,2,Alaska,1,0,5575
2010,4,Arizona,1,0,44915
2010,5,Arkansas,1,0,19577
2010,6,California,1,0,254421
2010,8,Colorado,1,0,33988
2010,9,Connecticut,1,0,19376
2010,10,Delaware,1,0,5597
2010,11,District of Columbia,1,0,3892
2010,12,Florida,1,0,107328
2010,13,Georgia,1,0,68265
2010,15,Hawaii,1,0,9209
2010,16,Idaho,1,0,11895
2010,17,Illinois,1,0,83334
2010,18,Indiana,1,0,42908
2010,19,Iowa,1,0,19781
2010,20,Kansas,1,0,20874
2010,21,Kentucky,1,0,28337
2010,22,Louisiana,1,0,31350
2010,23,Maine,1,0,6744
2010,24,Maryland,1,0,36753
2010,25,Massachusetts,1,0,36548
2010,26,Michigan,1,0,58425
2010,27,Minnesota,1,0,35158
2010,28,Mississippi,1,0,20470
2010,29,Missouri,1,0,39162
2010,30,Montana,1,0,6147
2010,31,Nebraska,1,0,13333
2010,32,Nevada,1,0,18439
2010,33,New Hampshire,1,0,6520
2010,34,New Jersey,1,0,53830
2010,35,New Mexico,1,0,14378
2010,36,New York,1,0,119677
2010,37,North Carolina,1,0,63076
2010,38,North Dakota,1,0,4550
2010,39,Ohio,1,0,70617
2010,40,Oklahoma,1,0,26527
2010,41,Oregon,1,0,23399
2010,42,Pennsylvania,1,0,72353
2010,44,Rhode Island,1,0,5571
2010,45,South Carolina,1,0,29717
2010,46,South Dakota,1,0,6003
2010,47,Tennessee,1,0,40604
2010,48,Texas,1,0,194435
2010,49,Utah,1,0,26647
2010,50,Vermont,1,0,3135
2010,51,Virginia,1,0,51474
2010,53,Washington,1,0,44251
2010,54,West Virginia,1,0,10199
2010,55,Wisconsin,1,0,35186
2010,56,Wyoming,1,0,3905
2010,1,Alabama,2,0,29461
2010,2,Alaska,2,0,5335
2010,4,Arizona,2,0,43064
2010,5,Arkansas,2,0,18605
2010,6,California,2,0,243863
2010,8,Colorado,2,0,32491
2010,9,Connecticut,2,0,18420
2010,10,Delaware,2,0,5355
2010,11,District of Columbia,2,0,3762
2010,12,Florida,2,0,103232
2010,13,Georgia,2,0,65496
2010,15,Hawaii,2,0,8768
2010,16,Idaho,2,0,11401
2010,17,Illinois,2,0,79382
2010,18,Indiana,2,0,40958
2010,19,Iowa,2,0,19201
2010,20,Kansas,2,0,19937
2010,21,Kentucky,2,0,27013
2010,22,Louisiana,2,0,30421
2010,23,Maine,2,0,6231
2010,24,Maryland,2,0,35262
2010,25,Massachusetts,2,0,34869
2010,26,Michigan,2,0,55870
2010,27,Minnesota,2,0,33666
2010,28,Mississippi,2,0,19732
2010,29,Missouri,2,0,36953
2010,30,Montana,2,0,5979
2010,31,Nebraska,2,0,12636
2010,32,Nevada,2,0,17634
2010,33,New Hampshire,2,0,6335
2010,34,New Jersey,2,0,51584
2010,35,New Mexico,2,0,13810
2010,36,New York,2,0,114387
2010,37,North Carolina,2,0,60358
2010,38,North Dakota,2,0,4320
2010,39,Ohio,2,0,67696
2010,40,Oklahoma,2,0,25593
2010,41,Oregon,2,0,22196
2010,42,Pennsylvania,2,0,69132
2010,44,Rhode Island,2,0,5375
2010,45,South Carolina,2,0,29162
2010,46,South Dakota,2,0,5690
2010,47,Tennessee,2,0,38504
2010,48,Texas,2,0,186780
2010,49,Utah,2,0,25395
2010,50,Vermont,2,0,2798
2010,51,Virginia,2,0,49192
2010,53,Washington,2,0,42376
2010,54,West Virginia,2,0,9963
2010,55,Wisconsin,2,0,33498
2010,56,Wyoming,2,0,3769
2010,1,Alabama,1,1,30484
2010,2,Alaska,1,1,5665
2010,4,Arizona,1,1,45358
2010,5,Arkansas,1,1,19623
2010,6,California,1,1,252700
2010,8,Colorado,1,1,34532
2010,9,Connecticut,1,1,19833
2010,10,Delaware,1,1,5593
2010,11,District of Columbia,1,1,3427
2010,12,Florida,1,1,107039
2010,13,Georgia,1,1,68059
2010,15,Hawaii,1,1,9034
2010,16,Idaho,1,1,12210
2010,17,Illinois,1,1,83176
2010,18,Indiana,1,1,43218
2010,19,Iowa,1,1,20261
2010,20,Kansas,1,1,20831
2010,21,Kentucky,1,1,28085
2010,22,Louisiana,1,1,31686
2010,23,Maine,1,1,6811
2010,24,Maryland,1,1,36519
2010,25,Massachusetts,1,1,36629
2010,26,Michigan,1,1,58821
2010,27,Minnesota,1,1,35540
2010,28,Mississippi,1,1,20910
2010,29,Missouri,1,1,39152
2010,30,Montana,1,1,6348
2010,31,Nebraska,1,1,13409
2010,32,Nevada,1,1,18612
2010,33,New Hampshire,1,1,6783
2010,34,New Jersey,1,1,53767
2010,35,New Mexico,1,1,14502
2010,36,New York,1,1,116692
2010,37,North Carolina,1,1,63425
2010,38,North Dakota,1,1,4632
2010,39,Ohio,1,1,71694
2010,40,Oklahoma,1,1,26699
2010,41,Oregon,1,1,23969
2010,42,Pennsylvania,1,1,72983
2010,44,Rhode Island,1,1,5692
2010,45,South Carolina,1,1,30210
2010,46,South Dakota,1,1,6010
2010,47,Tennessee,1,1,40490
2010,48,Texas,1,1,193835
2010,49,Utah,1,1,26909
2010,50,Vermont,1,1,3170
2010,51,Virginia,1,1,50771
2010,53,Washington,1,1,44483
2010,54,West Virginia,1,1,10394
2010,55,Wisconsin,1,1,35597
2010,56,Wyoming,1,1,4060
2010,1,Alabama,2,1,29290
2010,2,Alaska,2,1,5301
2010,4,Arizona,2,1,43445
2010,5,Arkansas,2,1,18957
2010,6,California,2,1,242178
2010,8,Colorado,2,1,32779
2010,9,Connecticut,2,1,18862
2010,10,Delaware,2,1,5310
2010,11,District of Columbia,2,1,3367
2010,12,Florida,2,1,102256
2010,13,Georgia,2,1,65357
2010,15,Hawaii,2,1,8612
2010,16,Idaho,2,1,11697
2010,17,Illinois,2,1,79877
2010,18,Indiana,2,1,41439
2010,19,Iowa,2,1,19282
2010,20,Kansas,2,1,19823
2010,21,Kentucky,2,1,27219
2010,22,Louisiana,2,1,30271
2010,23,Maine,2,1,6505
2010,24,Maryland,2,1,35257
2010,25,Massachusetts,2,1,34987
2010,26,Michigan,2,1,56685
2010,27,Minnesota,2,1,33856
2010,28,Mississippi,2,1,20269
2010,29,Missouri,2,1,37266
2010,30,Montana,2,1,5986
2010,31,Nebraska,2,1,12744
2010,32,Nevada,2,1,17928
2010,33,New Hampshire,2,1,6569
